,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Bagdarin,0,RU,1586563563,44,54.43,113.6,39.76,0.87
375,Brigantine,75,US,1586563564,36,39.41,-74.36,48.2,27.51
376,Yerbogachën,100,RU,1586563565,80,61.28,108.01,33.66,4.05
377,Road Town,90,VG,1586563519,74,18.42,-64.62,82.4,10.29
378,Plouzané,0,FR,1586563568,87,48.38,-4.62,55.4,1.12
379,Ishigaki,40,JP,1586563569,78,24.34,124.16,73.4,10.29
380,Muroto-misakicho,75,JP,1586563570,50,33.28,134.15,51.8,6.93
381,Conde,72,BR,1586563571,94,-7.26,-34.91,78.8,4.7
382,Pisco,0,PE,1586563573,30,-13.7,-76.22,72.0,13.87
383,Kuna,1,US,1586563574,21,43.49,-116.42,73.4,10.29
384,Tirumullaivāsal,4,IN,1586563575,77,11.23,79.83,81.07,6.71
385,Chizhou,100,CN,1586563576,90,30.66,117.48,51.19,8.23
386,Piaçabuçu,65,BR,1586563578,79,-10.41,-36.43,80.76,9.62
387,Gobabis,14,NA,1586563424,88,-22.45,18.97,62.6,11.16
388,Ust'ye,45,RU,1586563580,93,59.63,39.74,27.45,3.11
389,Baghdad,40,IQ,1586563286,42,33.34,44.4,64.4,10.29
390,Lac du Bonnet,97,CA,1586563582,43,50.25,-96.06,50.0,5.01
391,Lagan,0,RU,1586563584,65,45.39,47.37,42.67,4.72
392,High Level,75,CA,1586563381,46,58.52,-117.14,28.4,13.87
393,Kulhudhuffushi,1,MV,1586563586,65,6.62,73.07,84.24,3.33
394,Novobiryusinskiy,82,RU,1586563587,92,56.96,97.71,30.6,2.01
395,Puerto Nariño,75,CO,1586563589,100,-3.77,-70.38,78.8,3.24
396,Zaraza,100,VE,1586563590,54,9.35,-65.32,83.79,7.47
397,Kharan,93,PK,1586563591,24,28.58,65.42,75.88,4.38
398,Pevek,100,RU,1586563479,88,69.7,170.31,6.08,22.95
399,Fort Morgan,75,US,1586563593,22,40.25,-103.8,73.4,16.11
400,Ilulissat,10,GL,1586563595,63,69.22,-51.1,28.4,1.12
401,Moindou,50,NC,1586563596,42,-21.69,165.68,84.2,4.7
402,Vukovar,10,HR,1586563597,67,45.34,19.0,51.01,5.82
403,Nabire,13,ID,1586563598,71,-3.37,135.48,84.9,1.68
404,Pacifica,20,US,1586563417,55,37.61,-122.49,69.01,19.46
405,Fortuna,90,US,1586563601,81,40.6,-124.16,64.99,11.41
406,Fuerte Olimpo,0,PY,1586563602,44,-21.04,-57.87,68.23,2.8
407,North Myrtle Beach,1,US,1586563396,32,33.82,-78.68,60.01,8.05
408,Plettenberg Bay,14,ZA,1586563605,55,-34.05,23.37,62.98,2.75
409,Pilar,68,BR,1586563607,94,-9.6,-35.96,77.0,4.7
410,Husavik,75,IS,1586563608,90,66.04,-17.34,32.0,10.29
411,Nhulunbuy,75,AU,1586563609,74,-12.23,136.77,84.2,10.29
412,Mandera,34,KE,1586563610,17,3.94,41.87,80.01,3.0
413,Rūdbār,93,AF,1586563612,30,30.15,62.6,75.16,5.32
414,Mossendjo,68,CG,1586563613,86,-2.95,12.73,71.04,1.79
415,Bodden Town,20,KY,1586563387,83,19.28,-81.25,82.4,4.72
416,Riyadh,40,SA,1586563488,22,24.69,46.72,80.6,8.05
417,Cervo,99,ES,1586563616,1,43.67,-7.41,57.99,8.25
418,Along,0,IN,1586563618,49,28.17,94.77,61.86,4.52
419,Tombouctou,0,ML,1586563619,11,20.0,-3.0,82.29,4.92
420,Kindu,88,CD,1586563620,84,-2.95,25.95,71.8,1.72
421,Kibara,45,TZ,1586563621,65,-2.15,33.45,66.88,7.99
422,Catuday,17,PH,1586563623,72,16.29,119.81,80.62,10.42
423,Loíza,40,PR,1586563624,69,18.43,-65.88,84.2,5.82
424,Togur,1,RU,1586563625,97,58.36,82.83,25.45,5.82
425,Calabozo,100,VE,1586563546,35,8.92,-67.43,91.72,4.05
426,Lata,75,PT,1586563627,93,40.16,-8.33,57.99,5.82
427,Giohar,62,SO,1586563629,72,2.78,45.5,80.94,6.17
428,Pimentel,15,PE,1586563630,80,-6.84,-79.93,73.62,12.28
429,Helena,90,US,1586563631,20,46.59,-112.04,66.2,12.75
430,Villa María,0,AR,1586563512,71,-32.41,-63.24,55.99,7.16
431,Mawlaik,53,MM,1586563634,25,23.63,94.42,73.78,1.88
432,Yumen,0,CN,1586563635,26,40.28,97.2,40.53,17.67
433,Conceição do Araguaia,64,BR,1586563636,84,-8.26,-49.26,77.38,2.04
434,Bosaso,0,SO,1586563347,67,11.28,49.18,81.95,6.51
435,Krasnosel'kup,100,RU,1586563456,97,65.7,82.47,33.35,14.18
436,Show Low,1,US,1586563640,13,34.25,-110.03,68.0,14.99
437,Rumilly,0,FR,1586563641,70,45.87,5.95,60.8,5.82
438,Senno,72,RU,1586563642,93,59.53,33.92,29.03,3.76
439,Loukhi,95,RU,1586563643,94,66.08,33.04,18.82,5.91
440,Bariloche,75,AR,1586563456,81,-41.15,-71.31,53.6,19.46
441,Bambanglipuro,12,ID,1586563646,81,-7.95,110.28,80.02,1.52
442,Paamiut,99,GL,1586563647,77,61.99,-49.67,36.55,3.38
443,Calvinia,9,ZA,1586563648,26,-31.47,19.78,56.01,3.09
444,Lang Suan,20,TH,1586563650,88,9.95,99.08,78.8,2.24
445,Leeton,90,AU,1586563651,67,-34.57,146.4,62.01,17.22
446,Dongli,75,CN,1586563652,88,23.57,116.82,66.2,3.4
447,Mount Isa,99,AU,1586563653,24,-20.73,139.5,78.8,13.87
448,Neuquén,21,AR,1586563588,64,-38.95,-68.06,71.6,11.54
449,Half Moon Bay,20,US,1586563534,59,37.46,-122.43,68.0,13.87
450,Tomatlán,0,MX,1586563657,31,19.93,-105.25,88.29,14.83
451,Shimoda,75,JP,1586563461,50,34.67,138.95,53.6,13.87
452,Gladbeck,73,DE,1586563659,52,51.57,6.98,51.01,3.36
453,Sakaraha,0,MG,1586563661,66,-22.9,44.53,68.59,3.56
454,Wanning,67,CN,1586563662,82,18.8,110.4,77.27,8.84
455,Big Spring,40,US,1586563663,46,32.25,-101.48,73.4,14.99
456,Emba,100,KZ,1586563664,60,48.83,58.14,42.89,8.39
457,Nome,90,US,1586563666,86,64.5,-165.41,30.0,13.87
458,Genhe,0,CN,1586563667,42,50.78,121.52,43.43,3.49
459,Lincoln,1,US,1586563484,24,40.8,-96.67,57.2,17.22
460,Sumé,86,BR,1586563669,72,-7.67,-36.88,73.87,10.02
461,Watrous,78,CA,1586563671,74,51.67,-105.47,31.69,12.93
462,Chernyshevsk,0,RU,1586563672,50,52.52,117.02,41.59,2.59
463,Okha,0,RU,1586563673,92,53.57,142.95,28.83,4.56
464,Truro,83,GB,1586563675,54,50.27,-5.05,59.0,8.05
465,Bumba,45,CD,1586563676,70,2.18,22.47,74.68,0.89
466,Folldal,21,NO,1586563677,84,62.13,10.0,21.13,3.24
467,Chernyshevskiy,96,RU,1586563678,92,63.01,112.47,27.9,6.78
468,Mount Gambier,40,AU,1586563680,58,-37.83,140.77,57.2,25.28
469,Pangody,100,RU,1586563681,99,65.85,74.49,31.06,7.96
470,Paraná,0,AR,1586563682,60,-31.73,-60.52,68.0,7.09
471,Walvis Bay,3,NA,1586563683,77,-22.96,14.51,64.4,2.24
472,Fort Saint James,49,CA,1586563684,52,54.43,-124.25,39.88,8.59
473,Naze,75,JP,1586563686,64,28.37,129.48,68.0,6.93
474,Kavieng,99,PG,1586563687,73,-2.57,150.8,84.11,5.12
475,San-Pédro,42,CI,1586563688,84,4.75,-6.64,80.29,7.23
476,Mpika,6,ZM,1586563689,64,-11.83,31.45,59.7,8.01
477,Berlevåg,100,NO,1586563690,89,70.86,29.09,26.98,21.34
478,Châteauroux,10,FR,1586563692,81,46.82,1.7,48.2,4.7
479,Verāval,0,IN,1586563553,55,20.9,70.37,77.43,9.22
480,Ialibu,40,PG,1586563694,88,-6.28,143.99,66.2,2.3
481,Assiniboia,99,CA,1586563695,49,49.63,-105.98,41.4,15.28
482,Caborca,0,MX,1586563697,29,30.58,-111.1,75.99,3.0
483,Atikokan,86,CA,1586563698,63,48.76,-91.62,37.69,2.33
484,Whyalla,90,AU,1586563699,63,-33.03,137.58,64.4,14.99
485,Gusinoye Ozero,0,RU,1586563700,37,51.11,106.26,47.98,0.94
486,Havelock,1,US,1586563686,30,34.88,-76.9,55.4,11.41
487,Gorontalo,20,ID,1586563703,70,0.54,123.06,82.2,3.78
488,Bahile,20,PH,1586563704,83,10.0,118.79,80.6,6.93
489,Marovoay,40,MG,1586563705,69,-16.1,46.63,77.0,4.7
490,Marsh Harbour,16,BS,1586563707,84,26.54,-77.06,75.27,15.52
491,Pytalovo,99,RU,1586563708,81,57.07,27.91,35.04,8.19
492,Acaraú,100,BR,1586563709,86,-2.89,-40.12,78.73,4.92
493,Iguape,33,BR,1586563710,80,-24.71,-47.56,66.61,4.81
494,Rudnichnyy,100,RU,1586563712,88,59.62,52.47,32.88,6.06
495,Talaya,0,RU,1586563713,81,61.38,152.75,21.79,7.34
496,Kashgar,99,CN,1586563594,19,39.45,75.98,55.4,6.71
497,Anloga,20,GH,1586563715,88,5.79,0.9,80.6,4.7
498,Ulu Tiram,20,MY,1586563717,94,1.6,103.82,82.4,4.56
499,Sinnamary,96,GF,1586563718,81,5.38,-52.95,79.77,12.68
500,Tineo,90,ES,1586563719,100,43.34,-6.41,57.0,0.63
501,Beringovskiy,100,RU,1586563720,94,63.05,179.32,9.88,15.86
502,Makakilo City,90,US,1586563722,69,21.35,-158.09,82.4,6.93
503,Flinders,40,AU,1586563723,52,-34.58,150.86,72.0,8.05
504,Iquitos,75,PE,1586563724,100,-3.75,-73.25,42.8,3.36
505,Kodinsk,93,RU,1586563636,92,58.69,99.18,31.21,4.25
506,Te Anau,9,NZ,1586563726,55,-45.42,167.72,57.78,6.96
507,Ola,15,RU,1586563462,92,59.58,151.28,22.78,2.1
508,Tunceli,75,TR,1586563729,93,39.11,39.55,46.4,3.36
509,Mardin,99,TR,1586563730,66,37.31,40.74,44.96,1.45
510,Constantine,75,DZ,1586563732,100,36.37,6.61,51.8,3.36
511,Inhambane,12,MZ,1586563481,73,-23.86,35.38,71.74,6.24
512,Grand-Santi,100,GF,1586563449,93,4.25,-54.38,75.31,2.75
513,Murmino,55,RU,1586563735,57,54.6,40.05,30.99,5.88
514,Kumul,73,CN,1586563736,23,42.8,93.45,53.37,3.0
515,Weyburn,97,CA,1586563687,52,49.67,-103.85,51.01,14.0
516,Marabu,75,MY,1586563495,100,4.41,114.01,77.0,2.24
517,Sol'-Iletsk,53,RU,1586563463,67,51.16,54.99,40.35,7.67
518,Manzhouli,0,CN,1586563741,33,49.6,117.43,47.62,10.11
519,Charlestown,2,AU,1586563742,56,-32.95,151.67,73.0,19.46
520,De Aar,1,ZA,1586563744,54,-30.65,24.01,60.42,11.01
521,Churapcha,17,RU,1586563739,81,62.0,132.43,34.47,18.84
522,Bijapur,62,IN,1586563746,35,16.83,75.7,76.55,3.0
523,Caucaia,20,BR,1586563747,79,-3.74,-38.65,84.2,6.93
524,Kalengwa,99,ZM,1586563749,63,-13.47,25.0,62.24,4.18
525,San Joaquin,100,VE,1586563750,61,10.26,-67.79,78.44,2.46
526,Valparaíso,11,CL,1586563640,87,-33.04,-71.63,57.2,5.82
527,Atar,0,MR,1586563752,16,20.52,-13.05,81.61,7.7
528,Grand Forks,90,US,1586563754,45,47.93,-97.03,48.2,9.17
529,Guymon,1,US,1586563755,33,36.68,-101.48,71.6,29.97
530,Aitape,95,PG,1586563756,75,-3.14,142.35,82.02,3.18
531,Palmer,90,US,1586563757,65,42.16,-72.33,45.0,17.22
532,Mmabatho,94,ZA,1586563759,82,-25.85,25.63,59.0,4.7
533,Usinsk,100,RU,1586563760,96,65.99,57.53,18.05,18.32
534,Kilrush,75,IE,1586563761,87,52.64,-9.48,54.0,2.24
535,Salinópolis,88,BR,1586563521,84,-0.61,-47.36,80.76,13.13
536,Moses Lake,1,US,1586563764,23,47.13,-119.28,77.0,17.22
537,Gayéri,98,BF,1586563765,30,12.65,0.49,86.05,7.96
538,Yinchuan,0,CN,1586563766,32,38.47,106.27,42.13,5.93
539,Vondrozo,67,MG,1586563767,89,-22.82,47.28,62.37,1.68
540,Isiolo,67,KE,1586563768,49,0.35,37.58,67.93,3.13
541,Forsytheganj,2,BY,1586563770,74,52.63,29.73,36.46,6.62
542,Jiuquan,0,CN,1586563771,26,39.74,98.52,41.09,4.41
543,Brainerd,1,US,1586563772,26,46.36,-94.2,48.2,10.29
544,Tarnogskiy Gorodok,2,RU,1586563773,97,60.5,43.58,23.38,3.71
545,Muzhi,100,RU,1586563775,98,65.37,64.67,28.94,6.98
546,Celestún,10,MX,1586563776,70,20.87,-90.4,82.36,17.05
547,Río Gallegos,40,AR,1586563777,53,-51.62,-69.22,51.8,3.36
548,Elizabeth City,1,US,1586563579,25,36.29,-76.25,55.0,5.82
549,Norfolk,90,US,1586563779,75,42.17,-71.25,43.0,5.82
550,Ji’an,100,CN,1586563781,90,27.12,114.98,60.44,13.15
551,Luleå,18,SE,1586563782,68,65.58,22.15,28.4,11.41
552,Biloela,62,AU,1586563783,57,-24.42,150.5,79.43,7.78
553,Dongsheng,0,CN,1586563785,36,39.82,109.98,36.25,8.14
554,Mubi,99,NG,1586563786,13,10.27,13.26,81.28,7.92
555,Kiryat Gat,75,IL,1586563787,82,31.61,34.76,57.2,6.93
556,Necochea,0,AR,1586563549,88,-38.55,-58.74,55.99,4.0
557,Sur,99,OM,1586563790,55,22.57,59.53,81.66,7.65
558,Talpa,0,MX,1586563791,31,28.83,-111.63,77.0,4.0
559,Mandalgovi,10,MN,1586563792,36,45.76,106.27,36.48,8.7
560,San Francisco,20,US,1586563571,63,37.77,-122.42,69.01,16.11
561,Tura,0,IN,1586563795,48,25.52,90.22,70.88,2.95
562,Aras,90,ES,1586563796,93,42.56,-2.36,55.4,3.36
563,Lavrentiya,100,RU,1586563797,94,65.58,-171.0,14.16,10.47
564,Khasan,35,RU,1586563798,45,42.43,130.64,49.96,13.33
